id,asassn_name,source,TIC,RA_ICRS,DE_ICRS,period,p2,p2_method_i,group,has_tess,tess_sectors,Gmag,absolute_g,bp_rp,bp_rp_corrected,parallax_over_error,rpgeo,mwdust_av,mwdust_ag,mwdust_abp,mwdust_arp,gaia_filter,state,r1,xray_source,xray_observatory,xray_citation_key,xray_ads_link,xray_exposure,xray_luminosity,xray_separation
19056523,ASASSN-V J064718.18-171616.6,2946219682410156672,35295598,101.8258420918186,-17.271286323389518,14.080747672610705,13.60963664800588,99,spots,True,33-6-7,14.134666,1.5058083883710875,1.5936330000000005,1.2059499066022044,20.66279133418693,2385.8584,0.9386999840140342,0.740634287387073,0.9405773839820624,0.5528942905842661,True,rg,99.9,False,,,,,,
23838024,ASASSN-V J061908.20+074202.3,3325249274971782528,302929970,94.7841215689331,7.700639439048499,10.13000844387345,9.734614815398006,99,spots,True,6,14.129053,2.8855881583733587,1.2129910000000006,1.0246877780193393,30.474718261030386,1502.26184,0.4559400047957897,0.3597366637838781,0.4568518848053813,0.2685486628247201,True,sg,99.9,False,,,,,,
14897849,ASASSN-V J180416.24+593604.3,2152661248255223552,353853624,271.0676546984165,59.601163746321056,2.720546107053799,2.714399373085573,99,spots,True,14-15-16-17-18-19-20-21-22-23-24-25-40,14.12381,3.767746601570182,1.2559229999999992,1.189463041485495,75.09531506712419,1111.26978,0.1609199964031577,0.1269658771620914,0.161241836395964,0.0947818778814598,True,sg,99.9,True,ROSAT,Boller16,https://ui.adsabs.harvard.edu/abs/2016A%26A...588A.103B/abstract,3678.0,3.297950654512638e+31,7.28935555088556
59430159,ASASSN-V J182801.72-440639.7,6721685395199937792,90562573,277.0072026087331,-44.11132975223821,8.182439314489633,7.991147636825739,99,spots,True,13,14.115953,1.8667657399705555,1.2587279999999996,1.1329354494305297,14.098130144702415,2522.16992,0.3045824468994432,0.2403155506036607,0.305191611793242,0.179399061223772,True,rg,34.2,False,,,,,,
49737825,ASASSN-V J145653.00-603725.4,5877942196658162816,296815995,224.2204072123085,-60.623824830162825,5.1010316928042645,2.47190429548956,1,extra_eclipses,True,11,14.114083,-1.3132147577817745,1.507759,-0.07085372335044182,16.526338853943034,3035.98438,3.822306836199617,3.0158000937614977,3.829951449872016,2.251338726521574,False,,25.3,False,,,,,,
49659927,ASASSN-V J152828.51-602207.9,5875741592905093120,460972828,232.1191123461728,-60.368905049793526,4.924938768664757,19.4938905447322,0,extra_eclipses,True,12,14.11291,0.9172277313094213,0.9065159999999999,0.36965028307306,17.950117055808835,2716.49902,1.2999169901378689,1.0256345052187783,1.3025168241181444,0.7656511071912045,True,ms,27.3,False,,,,,,
23959186,ASASSN-V J061937.79+103336.4,3330720273033282688,167171742,94.90770710481404,10.559749457217077,2.915591614536311,2.926997387177635,99,spots,True,33-6,14.109704,,1.4019739999999992,,,,,,,,False,,22.5,False,,,,,,
42174538,ASASSN-V J100328.25-412200.5,5418663201725463040,287001318,150.86834788191257,-41.36707596347883,2.342839889447516,2.3241284394064987,99,spots,True,9,14.109403,2.458849599135227,1.0325430000000004,0.8304879129281817,35.210984450326166,1790.23071,0.4892374989632412,0.3860083866819973,0.4902159739611677,0.288160886889349,True,sg,20.4,False,,,,,,
41388167,ASASSN-V J103509.23-465456.8,5364890692221190016,146485604,158.78840478258442,-46.91586452568395,0.9419900773141732,6.17914271905778,0,extra_eclipses,True,10-36-9,14.10418,4.305392986566464,0.9053010000000015,0.796095066097951,3.259145093324535,828.002686,0.2644211474625919,0.208628285347985,0.2649499897575171,0.1557440558554666,False,,33.9,False,,,,,,
39486949,ASASSN-V J062335.69-693135.2,5279530210077744384,167088180,95.89870454215855,-69.52640679669683,1.9461008256116896,1.9448788589653887,99,spots,True,1-10-11-12-13-2-27-28-29-30-31-32-33-34-35-36-37-39-4-5-6-7-9,14.10325,3.4760514550463903,1.2518779999999996,1.1344512674403233,61.283468108883696,1203.85181,0.2843262289580539,0.2243333946479045,0.2848948814159699,0.1674681488562937,True,sg,99.9,True,XMM-NEWTON,Saxton08,https://ui.adsabs.harvard.edu/abs/2008A%26A...480..611S/abstract,,,5.348114521289465
4702811,ASASSN-V J005946.23+744905.1,538851892654693248,468534565,14.9427461615776,74.81807907615135,9.532761434920197,9.442328262958007,99,spots,True,18-19-24,14.088648,1.9542049154310734,1.5131709999999998,1.2141012011270522,31.80647203616879,2054.08936,0.7241399488449096,0.5713464196386338,0.7255882287425994,0.4265184298696517,True,rg,99.9,False,,,,,,
51821256,ASASSN-V J175107.09-440658.8,5954850114444152960,21773007,267.7796870028663,-44.11644866434194,93.63440036265465,,99,spots,True,13-39,14.086636,0.3851345240104018,1.6801899999999996,1.2228311354838706,12.288460059267214,3677.49048,1.1074064516129034,0.8737436903225808,1.1096212645161292,0.6522624,True,rg,35.8,False,,,,,,
